code	severity	auto	message	origin
`VOICE_ENGINE_UNAVAILABLE`	error	設定確認導線	ゆうこの声の準備ができていません。設定を確認してください	`05 §17`
`VOICE_GENERATION_FAILED`	error	該当シーン再試行	ゆうこの声の作成に失敗しました。もう一度お試しください（**前の声がそのまま使えるときは** `KEPT_PREVIOUS_VOICE_SUFFIX`＝「前に作った声はそのまま使えます。」を添える・#755-3）	添え書きの条件＝**印を据え置いた**かつ**鳴らす材料がある**（印だけで言うと、読み込めていない声にも「使えます」と言う）
`VOICE_TIMEOUT`	error	セリフを短く分ける／アプリを開き直す	ゆうこの声を作るのに時間がかかりすぎました。セリフを短く分けるか、アプリを開き直してから、もう一度お試しください	#1024 ④。⚠️ **上限が無く「作成中…」のまま止まりうる**状態だった（`reqwest::Client::new()`＝timeout 未設定／AI 側は 60 秒を設定していた）。一括作成は中止できるが、**1件ずつ作るときは抜け道が無い**。⚠️ **時間切れを `VOICE_ENGINE_UNAVAILABLE` と同じ文にしない**＝エンジンには**届いている**ので「設定を確認」は**実行できない次の行動**になる。⚠️ **上限は 180 秒**（AI の 60 秒より長い＝長いセリフの合成は同梱エンジンでも数十秒かかる）。**つなぐまでは 10 秒**（動いていないときに3分待たせない）。⚠️ **つなぐ前に落ちたものは、この文にしない**〔PR #1036 レビュー 🔴〕＝`is_timeout()` は**つなぐまでの上限**が切れたときも真になるので、そのまま倒すと**届いてすらいないのに「開き直してください」**と言う。拒否・名前解決の失敗・つなぐ時間切れは、まとめて `VOICE_ENGINE_UNAVAILABLE`／「音声ソフトにつながりません」へ倒す（`is_connect()` で分ける）
`ENGINE_TIMEOUT`	error	アプリを開き直す	音声ソフトの応答に時間がかかりすぎました。アプリを開き直してから、もう一度お試しください	#1024 ④。読み方の聞き比べ・読み方辞書（ADR-0037）の経路。⚠️ **こちらは「短くする」手が無い**ので開き直しだけを言う（`VOICE_TIMEOUT` と文を分ける理由）。⚠️ 見分けは `send_error`（`voicevox.rs`）に**1か所だけ**置く＝送る所は8か所あり、写すと片方だけ時間切れを見分けるようになる
`AI_RESPONSE_INVALID`	error	再生成/手動	通信状況や設定を確認して、もう一度お試しください。手動で場面を作ることもできます	`12 §9.3`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、実装は `generateFailedMessage(reason)`＝**理由が取れたらそれを出し、取れないときに上の文**を出す（`reason ?? …`）。表には**既定の文**を書く
`EXPORT_FAILED`	error	失敗した場面を出す／最初からやり直す（#994）	①動画の保存に失敗しました。もう一度お試しください。何度も失敗するときは、設定の「記録の場所を開く」から記録をお送りください ②動画を書き出せませんでした。しばらくしてから、もう一度お試しください。何度も失敗するときは、設定の「記録の場所を開く」から記録をお送りください	`05 §17`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、⚠️ **表は「ログを確認してください」だった**＝`§2-3` の禁止語（`06 §3` で log→記録）を**正典が載せていた**うえ、当時アプリに記録を見る導線は無く**実行できない次の行動**だった。実装は場面形式（`ExportScreen`）とタイムライン形式（`timelineStore`）で別の文＝両方を書く。いずれも `detail` が取れたらそちらを優先する。#396 で記録の場所ができたので、繰り返し失敗する場合の案内に足すかは #962 で決める。**#962 で記録へつないだ**＝以前は「もう一度お試しください」で終わっており、**何度やっても失敗する人は行き止まり**だった。#396 で記録ができたのでそこへ案内する（記録は外へ送られないので、送るかどうかは利用者が決める）。文言は `exportFailedMessage`
`FFMPEG_NOT_FOUND`	fatal	—	動画の書き出しに必要な準備が見つかりませんでした。アプリを入れ直すか、設定をご確認のうえ、もう一度お試しください	`08 §10`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、実装は `exportCapability`（`toolMissing`/`unavailable`）。表の「準備が不足しています」は次の行動が無く、実装の方が具体的だった
`BGM_FILE_BROKEN`	warning	BGMなしで続行を提示	BGMを読み込めませんでした。BGMなしで続けられます	`08 §10`
`TOTAL_DURATION_EXCEEDED`	warning	—	動画が長すぎます。場面を減らすか短くしてください	`11 §8 V9`
`TOO_MANY_SCENES`	warning	—	場面が多すぎます。整理をおすすめします	`11 §8 V10`
`FREE_ELEMENT_OUT_OF_BOUNDS`	warning	—	画面の外にはみ出した配置があります。画面内に移動できます	`ADR-0008 §8`
`FREE_ELEMENT_INVALID_SIZE`	warning	—	配置した要素の大きさが正しくありません。幅と高さを設定し直してください	`ADR-0008 §8`
`FREE_TEXT_EMPTY`	info	—	文字が入っていない配置があります。文字を入力してください	`ADR-0008 §8`
`LINE_ID_DUPLICATE`	warning	案内のみ（UI採番は一意で通常出ない）	セリフの並びに重複があります。作り直してください	`ADR-0015 §8 V16`
`LINE_START_OUT_OF_RANGE`	warning	案内（入力は[0,場面尺]へclamp・描画も clamp）	セリフの開始位置が場面の長さを超えています。場面の長さ内にしてください	`ADR-0015 §8 V17`
`LINE_ORDER_INVALID`	warning	時間順へ並べ直し	セリフの開始順序が前後しています。時間順に並べ直せます	`ADR-0015 §8 V18`
`LINE_SPEAKER_UNKNOWN`	warning	既定の声へ	選べない声が指定されています。標準の声を使います	`ADR-0015 §8 V19`
`TIMELINE_TRACK_NOT_FOUND`	warning	—	どの列に置くか決まっていない部品があります。列を選び直してください	`ADR-0032`・`11 §8 V22`
`TIMELINE_CLIP_TRACK_KIND`	warning	—	音の部品は音の列に、絵や文字の部品は映像の列に置いてください	`ADR-0032`・`11 §8 V23`
`TIMELINE_CLIP_OVERLAP`	warning	—	同じ列で時間が重なっています。ずらすか、列を増やして重ねてください	`ADR-0032`・`11 §8 V24`
`TIMELINE_AUDIO_SOURCE_CONFLICT`	warning	—	音の出どころが2つ指定されています。どちらか一方にしてください	`ADR-0032`・`11 §8 V25`
`TIMELINE_VOICE_TEXT_EMPTY`	info	—	読み上げる文が入っていません。文を入力してください	`ADR-0032`・`11 §8 V28`
`TIMELINE_VOICE_ON_NON_VOICE`	warning	—	読み上げの中身は読み上げの部品にだけ置けます。読み上げの部品に置き直してください	`ADR-0032`・`11 §8 V28`
`TIMELINE_SUBTITLE_LINK_NOT_FOUND`	warning	—	連動する読み上げが見つかりません。連動先を選び直すか、連動をやめてください	`ADR-0032` 決定24・`11 §8 V29`（字幕は自分の文へ落ちて描かれ続ける＝黙って連動が切れたことに気づけない）
`TIMELINE_CROP_HIDES_ALL`	warning	—	切り抜きで全部隠れている部品があります。切り抜きを小さくしてください	`ADR-0032`・`11 §8 V30`（描画は 1px 残す＝丸ごと消えたことに気づけるようにする）
`TIMELINE_ANIMATION_DUPLICATE`	warning	—	ひとつの部品に動きが2つ以上あります。あとの1つは動画に出ないので、動きを付け直してください	`ADR-0032`・`11 §8 V31`（読む側は `targetId` で1本しか見ない＝2本あると片方が黙って無視される・#717）
`TIMELINE_DUPLICATE_ID`	warning	—	同じ部品が二重に入っていて、正しく表示できません。その部品を消して置き直すか、元の動画の「タイムラインで編集する形にする」から作り直してください	`ADR-0032`・`11 §8 V32`（読む側は id で引き当てる＝重なると別のものに効く・#811）
`TIMELINE_SUBTITLE_LINK_ON_NON_SUBTITLE`	warning	—	読み上げと連動できるのは字幕の部品だけです。字幕の部品に置き直してください	`ADR-0032` 決定24・`11 §8 V29`
`BAKE_DIALOGUE_SUBTITLE_SKIPPED`	info	—	セリフに合わせて切り替わる字幕は持っていけません。作ったあとに字幕を置き直してください	`ADR-0032`・`11 §7.6.1.1`（**通常の見た目の字幕層は #633 で焼けるようになった**＝残るのは自由配置の字幕ボックスで対象が行に追従するもの〔全部／話者〕だけ）
`BAKE_VIDEO_START_TIMING_SKIPPED`	info	—	動画を再生し始めるタイミングは持っていけません。作ったあとに動画の位置で調整してください	`ADR-0032`・`11 §7.6.1`
`TIMELINE_OVERLAY_RETIRED`	info	データは残す（消さない）	この動画には以前この画面で直した時間の流れが残っていますが、動画には反映されなくなりました。内容は消していません。時間の流れを細かく作るときはタイムライン編集用に書き出してください	`ADR-0032` 決定11/12・`11 §1`（#635。**黙って消さない**＝ファイルには残し、描画・書き出しに出さないことだけを伝える）
`READING_DICT_SYNC_FAILED`	error	声を作らない（断る）	読み方を音声ソフトへ反映できませんでした。設定の「音声ソフトの接続先」を確かめてから、もう一度お試しください。（読み方が反映されないまま声を作ると、会社名や人名が違う読みになります）	`ADR-0037` 決定7・#350。⚠️ **黙って作らない**（§2-5）＝送れないエンジン（`--disable_mutable_api` 等）で誤読のまま成功にしない。⚠️ **辞書が空で控えも無いときは触らない**＝反映するものが無いので、この機能を使っていない利用者の書き出しを新しい検査で止めない。⚠️ **呼び口は1つ**（`ensureReadingDictSynced` を `VoicevoxProvider.synthesize` の中で通す）＝合成の入口4か所へ配線すると片方だけ漏れる
`READING_DICT_WORD_CONFLICT`	info	上書きしない（そのまま）	音声ソフトに、同じ言葉で違う読み方が登録されています。この読み方は上書きしていません	`ADR-0037` 決定3b・#350。⚠️ **他の VOICEVOX の辞書を壊さない**＝利用者が VOICEVOX 本体で入れた読みをアプリが勝手に書き換えない。⚠️ **自分の語と見るのは「控えた id に実際に当たったとき」だけ**（PR #883 再レビュー）＝「その言葉の控えを持っている」だけでは足りない（エンジンを入れ直した後に、別の主体が同じ言葉を登録していることがある）。辞書は OS 上の固定パスで共有される（`--user_dict_path` に相当するオプションが無い）。⚠️ **知らせる場所は設定の「言葉の読み方」**＝画面を開いたとき・編集したときに映しに行き、そこで「こちらの読みにする」を押したときだけ上書きする（**押されるまで上書きしない**）。この画面が受け手を持たないと、**一度も出ない検査**になる（PR #883 レビュー）
`READING_DICT_IMPORT_DUPLICATE`	info	足さない（選ばせる）	読み込んだ一覧に、同じ言葉で読みが違うものがありました。そのままにするか、読み込んだ方に置き換えるかを選べます	`ADR-0037` 決定8・#350。⚠️ **読み込みは「足す」が既定**＝同じ言葉があるとき黙って上書きしない（利用者判断 2026-08-26）。1件ずつ選ぶ＝まとめて上書きにしない
`USER_FONT_MISSING`	error	書き出しを止める（描画は既定へ倒す）	この動画で使っている文字の形（フォント）が N つ見つかりません。このまま書き出すと別の字になります。設定の「文字の形」から取り込み直すか、使っている場面で別の文字の形を選び直してください	`ADR-0038`・#261。⚠️ **黙って別の字体の動画を成功として出さない**（§2-5）＝画面は既定の字体で描いてよい（真っ白にしない）が、**書き出しは止める**。⚠️ **「調べていない」と「そろっている」を分ける**＝一覧を取れない場では項目そのものを出さない（`missingAsset`／#347 と同じ流儀）。出どころ＝公開前チェックの「見つからない文字の形」（`blocksExport`）
`READING_DICT_UNREADABLE_FOR_VOICE`	error	声を作らない（断る）	読み方の一覧を読めませんでした。このまま声を作ると、会社名や人名が違う読みになることがあります。アプリを開き直してから、もう一度お試しください	`ADR-0037` 決定7・α-6 差分再監査。⚠️ **設定画面向けの文言を流用しない**＝あちら（`READING_DICT_UNREADABLE`）は「足す・外すは止めています」で、声を作ろうとしている人には**いま何が起きたのか**が伝わらない（§2-5）。断ること自体は決定7 のとおり（誤読のまま成功にしない）
`READING_DICT_UNREADABLE`	error	読まない・書かない（**ファイルは残す**）	読み方の一覧を読めませんでした。中身を失わないよう、足す・外すは止めています。アプリを開き直してください	`ADR-0037`・α-6 出口監査 🟡19 のレビュー。⚠️ **空として返さない**＝画面が「1つも登録していない」を見せ、次の保存が**その空で丸ごと上書き**して登録した読みが全部消える（取り戻せない）。断れば書き込みが走らないので**壊れたファイルはそのまま残る**。⚠️ **壊れた「語」は1件ずつ落として数を返す**（`parseReadingDictWithDrops`）＝丸ごと捨てるのは「JSON ですら無い」ときだけ。⚠️ **声も作らない**＝`ensureReadingDictSynced` がこの理由で断る（決定7＝誤読のまま成功にしない）
`TIMELINE_EXPORT_USER_FONT_UNREADABLE`	error	書き出しを止める（描画は既定へ倒す）	この動画は取り込んだ文字の形（フォント）を使っていますが、いま手元にあるかを調べられませんでした。このまま書き出すと別の字になることがあります。アプリを開き直してから、もう一度お試しください	`ADR-0038`・α-6 差分再監査 2巡目。⚠️ **「見つからない」とは別**＝目録そのものが読めないので待っても埋まらない。⚠️ **場面形式は同じ状態を `USER_FONT_UNREADABLE`（公開前チェックの `unknownFont`）で止めている**＝こちらが素通りだと**同じ動画が形式によって止まったり出たり**する（ADR-0026②）
`TIMELINE_EXPORT_USER_FONT_MISSING`	error	書き出しを止める（描画は既定へ倒す）	この動画で使っている文字の形（フォント）が見つかりません。このまま書き出すと別の字になります。設定の「文字の形」から取り込み直すか、使っている文字で別の文字の形を選び直してください	`ADR-0038`・α-6 差分再監査。⚠️ **形式で挙動を割らない**（ADR-0026②）＝場面形式には公開前チェックの `missingFont` があるのにタイムライン形式に無いと、**同じ字体で片方だけ黙って既定の字体の動画**が出る。🔴1 を直してタイムラインの文字クリップでも持ち込みフォントを選べるようになったので門も要る。⚠️ **調べていないときは見ない**（`availableUserFontIds` 未指定＝判定材料が無い）
`USER_FONT_UNREADABLE`	error	書き出しを止める（描画は既定へ倒す）	この動画は取り込んだ文字の形（フォント）を N つ使っていますが、いま手元にあるかを調べられませんでした。このまま書き出すと別の字になることがあります。アプリを開き直してから、もう一度お試しください	`ADR-0038`・α-6 出口監査 🟡19 のレビュー。⚠️ **「まだ調べていない」とは別の状態**＝あちら（起動直後・`userFontIds === null`）は待てば埋まるので**止めない**が、こちらは**目録そのものが読めない**ので待っても埋まらない。⚠️ **「見つからない」に倒さない**＝嘘になるうえ、案内の「取り込み直す」が同じ目録を通るので**必ず失敗する行き止まり**になる（§2-5）。⚠️ **黙って通さない**＝別の字体の動画を成功として出さない（`USER_FONT_MISSING` と同じ理由）。出どころ＝公開前チェックの「文字の形を調べられません」（`blocksExport`）
`MANIFEST_UNREADABLE`	error	足す・外すをしない（**目録は書き換えない**）	〔よく使う素材／取り込んだ文字の形〕の一覧を読めませんでした。中身を失わないよう、足す・外すは止めています。アプリを開き直してください	α-6 出口監査 🟡19。⚠️ **壊れた行だけ落とす**（`parse_manifest`）＝1行のせいで空にすると、次の書き込みが**棚を空で上書き**して覚え書きが全部消える。⚠️ **配列ですら無いときは断る**＝読めていないものを「空だった」と扱わない。断ると `add_*`/`delete_*` は書く前に止まるので**壊れたファイルはそのまま残る**（利用者が直せる余地）。⚠️ **ただし空（0バイト）のファイルは通す**＝書き込みが途中で止まると 0 バイトで残るので、断ると**開き直しても直らない行き止まり**になる（失う中身が無いので空として扱う・再監査で発見）
`BRAND_KIT_SAVE_FAILED`	error	覚え直さない（画面も戻す）	会社の見た目を保存できませんでした。しばらくしてから、もう一度お試しください	`ADR-0036`・α-6 出口監査 🟡23。⚠️ **書けていないのに覚えた顔をしない**＝画面だけ変えると、開き直したときに黙って消えている（何を変えたか本人にも分からない）
`USER_FONT_IMPORT_FAILED`	error	取り込まない	このファイルは文字の形として読み込めません。ttf・otf・woff・woff2 のいずれかを選んでください	`ADR-0038`・#261（利用者判断＝形式は4つとも）。⚠️ **読めない字体を一覧に載せない**＝載せると「選べるのに描けない」になる
`SCHEMA_VERSION_UNSUPPORTED`	fatal	—	この動画の内容が正しくありません。一覧から別の動画を選んでください	`11 §1`。⚠️ **表が実装から離れていた**（#354）＝この行は初期設計のまま一度も更新されておらず、⚠️ **表は「対応していないバージョン」だった**＝「バージョン」は実装の言葉で、しかも**次の行動が無い**。実装は形が合わないときの断り（`persistence`）。**アプリより新しい版**は別の行（`PROJECT_NEWER_VERSION`）が「アプリを更新してから開き直す」と案内する。⚠️ **α-7 出口監査で偽の緑が見つかった**＝ここに書いていた「この動画の内容が…」は**タイムライン形式**（`domain/timeline/persistence.ts`）の文で、場面形式の実装（`domain/project/persistence.ts`）は「プロジェクトの内容が…」だった。文言の実在の検査は**コメントに引用された同じ文**でも通ってしまうため、**別の行の実装に当たって緑**になっていた。⚠️ **タイムライン形式は別の行**（`TIMELINE_VERSION_UNSUPPORTED`／`TIMELINE_FORMAT_UNSUPPORTED`）が受け持つ
`PROJECT_FORMAT_UNSUPPORTED`	fatal	—	この動画はタイムラインで編集する形式です。場面の編集画面では開けません。一覧から別の動画を選んでください	`ADR-0032`・`11 §1`
`TIMELINE_FORMAT_UNSUPPORTED`	fatal	—	この動画はタイムラインで編集する形式ではありません。一覧から別の動画を選んでください	`ADR-0032`・`11 §1`（`PROJECT_FORMAT_UNSUPPORTED` の逆向き）
`TIMELINE_VERSION_UNSUPPORTED`	fatal	同メジャーは現行版へ引き上げ	この動画は対応していないバージョンで作成されています。アプリを更新してください	`ADR-0032`・`11 §1`（**「形式」と言わない**＝形式は場面/タイムラインの別を指す語）
`PROJECT_NEWER_VERSION`	fatal	—	この動画は、いまのアプリより新しい版で作られています。アプリを更新してから開き直してください	`#793`・**両形式共通**（`domain/schemaVersionCompare.ts`）。⚠️ **「壊れています」と言わない**＝文書は壊れておらず、**アプリを更新すれば開ける**。⚠️ **「別の動画を選んでください」も書かない**＝**別のを選んでも解決しない**（§2-5＝実行しても直らない行動を名指ししない）。**穴の形**＝両形式の版の関門は**メジャーしか見ない**ので、**同メジャーの新しいマイナー**（場面 1.26／タイムライン 1.9 等）はそこを通り抜け、migrate が版を**現行へ書き下げ**たうえで ajv が落ち、`PROJECT_DOC_BROKEN`／`TIMELINE_DOC_BROKEN` の**嘘の案内**になっていた。**引き上げる前に断る**。⚠️ **マイナーは数で比べる**（文字列だと `1.9 > 1.10` になる）
`TIMELINE_DOC_BROKEN`	fatal	—	この動画の内容が正しくありません。一覧から別の動画を選んでください	`ADR-0032`・`11 §8 V1/V2`
`TIMELINE_OPEN_FAILED`	fatal	—	この動画を開けませんでした。一覧から選び直してください	`ADR-0032`（読み出しそのものの失敗＝生のエラーを出さない）
`TIMELINE_SAVE_FAILED`	error（回復性＝`retryable`。編集内容そのものが残らない＝`EXPORT_FAILED` と同じ段。`warning` 帯の `TIMELINE_EDIT_*` は「置けないだけでデータは無事」なので別）	**自動では繰り返さない**（画面の「保存し直す」で再試行）・**画面を移る前に確認する**	変更を保存できませんでした。もう一度「保存し直す」を押してください。押しても直らないときは、直前の操作を取り消してからお試しください	`ADR-0032`・`06 §12.1`（#693。タイムライン編集は**自動保存**で、共通トップバーの保存ボタンは出さない＝**失敗を伝える担い手はこの画面だけ**。黙って落とすと「閉じても消えない」が破れる〔ADR-0026④〕。同じ理由で失敗し続ける間ディスクを叩き直しても直らないので**利用者に返す**／画面を移ると編集は失われるので**黙って捨てず聞く**（#719＝**サイドバーなど別の入口も同じ関門を通る**・`navigationGuard`））
`TIMELINE_EDIT_OVERLAP`	warning	—	その場所には先に置いてある部品があります。ずらすか、列を足して重ねてください	`ADR-0032`・`11 §8 V24`
`TIMELINE_EDIT_TRACK_KIND`	warning	—	音の部品は音の列に、絵や文字の部品は映像の列に置いてください	`ADR-0032`・`11 §8 V23`
`TIMELINE_EDIT_LOCKED`	warning	—	この列は固定されています。動かすには固定を外してください	`ADR-0032`・`11 §7.6`。⚠️ **締めの文はしようとしたことで変わる**＝**動かす**はこの共有コードの文（`editBlockedMessage`）、**中身を変える／削除する**は `lockedTrackMessage`（`content`/`delete` の2つだけ＝到達しない文言は持たない）。**新しいコードを足さない**（#844-4）＝出どころが増えても状態は同じ「列が固定されている」なので、この1行で受ける。出どころ＝押せない見た目の説明（`lockedHint`）／**二度押しで中へ入れないとき**（#832・ドリルイン）ほか。⚠️ ドリルインの断りだけは**画面ローカル**（`drillBlockedNotice`）で出す＝`clearSelection` の `CLEARED_NOTICES` が同じ押下の中で `editBlocked` を消してしまうため。**黙って飲み込まず**、従来どおり選択を解いたうえで理由を出す（`06 §12.1`）
`TIMELINE_EDIT_LOCKED_SELECTION`	warning	—	固定された列の部品が選ばれています。固定を外すか、選び直してください	`ADR-0032`・#752-3（`locked` と分けるのは**次の行動が違う**ため＝選び直しでも進める。出るのは**消す**（`removeSelectedClipsChecked`＝1つでも「選んだもの」を通るので件数に依らず）と**まとめて動かす**（`moveClips`）と**まとめて長さをそろえる**（`trimClips`＝2件以上のとき・#1005）。⚠️ **単体で動かす**（`moveClip`）**だけは `locked`**＝そちらは指す先が1つの列に決まる（#773 レビュー）。ボタンの説明とキーの断り文が**同じ文**を読む）
